order_id,product,category,region,amount,quantity,order_date
ORD-050,Lamp,Furniture,Europe,99.99,2,2025-02-25
ORD-051,Notebook,Stationery,Asia,6.99,8,2025-02-26
ORD-052,Pen Set,Stationery,Africa,14.99,5,2025-02-27
ORD-053,Folder,Stationery,South America,9.99,12,2025-02-28
ORD-054,Stapler,Stationery,Australia,17.99,3,2025-03-01
ORD-055,Calculator,Stationery,North America,34.99,1,2025-03-02
ORD-056,Tablet,Electronics,Europe,549.99,1,2025-03-03
ORD-057,Phone,Electronics,Asia,799.99,1,2025-03-04
ORD-058,Printer,Electronics,Africa,299.99,1,2025-03-05
ORD-059,Scanner,Electronics,South America,199.99,1,2025-03-06
ORD-060,Webcam,Electronics,Australia,119.99,2,2025-03-07
ORD-061,Sofa,Furniture,North America,999.99,1,2025-03-08
ORD-062,Table,Furniture,Europe,399.99,1,2025-03-09
ORD-063,Dresser,Furniture,Asia,649.99,1,2025-03-10
ORD-064,Wardrobe,Furniture,Africa,849.99,1,2025-03-11
ORD-065,Nightstand,Furniture,South America,169.99,2,2025-03-12
ORD-066,Binder,Stationery,Australia,22.99,6,2025-03-13
ORD-067,Paper,Stationery,North America,27.99,4,2025-03-14
ORD-068,Envelope,Stationery,Europe,11.99,15,2025-03-15
ORD-069,Marker Set,Stationery,Asia,18.99,3,2025-03-16
ORD-070,Tape,Stationery,Africa,5.99,8,2025-03-17
ORD-071,Laptop,Electronics,South America,1099.99,1,2025-03-18
ORD-072,Mouse,Electronics,Australia,27.99,4,2025-03-19
ORD-073,Keyboard,Electronics,North America,69.99,2,2025-03-20
ORD-074,Monitor,Electronics,Europe,579.99,1,2025-03-21
ORD-075,Headphones,Electronics,Asia,159.99,1,2025-03-22
ORD-076,Desk,Furniture,Africa,479.99,1,2025-03-23
ORD-077,Chair,Furniture,South America,319.99,1,2025-03-24
ORD-078,Bookshelf,Furniture,Australia,229.99,1,2025-03-25
ORD-079,Cabinet,Furniture,North America,389.99,1,2025-03-26
ORD-080,Lamp,Furniture,Europe,79.99,3,2025-03-27
ORD-081,Notebook,Stationery,Asia,7.99,10,2025-03-28
ORD-082,Pen Set,Stationery,Africa,13.99,7,2025-03-29
ORD-083,Folder,Stationery,South America,10.99,9,2025-03-30
ORD-084,Stapler,Stationery,Australia,16.99,4,2025-03-31
ORD-085,Calculator,Stationery,North America,32.99,2,2025-04-01
ORD-086,Tablet,Electronics,Europe,599.99,1,2025-04-02
ORD-087,Phone,Electronics,Asia,849.99,1,2025-04-03
ORD-088,Printer,Electronics,Africa,279.99,1,2025-04-04
ORD-089,Scanner,Electronics,South America,189.99,1,2025-04-05
ORD-090,Webcam,Electronics,Australia,99.99,3,2025-04-06
ORD-091,Sofa,Furniture,North America,949.99,1,2025-04-07
ORD-092,Table,Furniture,Europe,369.99,1,2025-04-08
ORD-093,Dresser,Furniture,Asia,619.99,1,2025-04-09
ORD-094,Wardrobe,Furniture,Africa,779.99,1,2025-04-10
ORD-095,Nightstand,Furniture,South America,159.99,3,2025-04-11
ORD-096,Binder,Stationery,Australia,21.99,9,2025-04-12
ORD-097,Paper,Stationery,North America,26.99,6,2025-04-13
ORD-098,Envelope,Stationery,Europe,12.99,18,2025-04-14
ORD-099,Marker Set,Stationery,Asia,17.99,5,2025-04-15
ORD-100,Tape,Stationery,Africa,6.99,12,2025-04-16
